성별,연령대,거주지,귀하의 취미는 무엇입니까,어떤 종류위 여행을 좋아하십니까,국내여행 희망시 어떤 형태를 선호하십니까,선호하는 여행방식은 어떤 것입니까,선호하는 상품 및 서비스 항목은 무엇입니까,온라인 쇼핑을 통해 자주 구매하는 상품 및 서비스는 무엇입니까,가장관심있는 온라인 상품 카테고리는 무엇입니까,온라인 쇼핑몰에서 진행했으면하는 이벤트가 무엇입니까
남성,30대,경기도,독서 / 여행 / 음악/영화감상 / 모임활동,국내여행(휴양지),맛집탐방,지인과 함께하는 여행,"여행(국내외 숙박, 여행상품) / 문화(영화, 도서, 공연)",전자제품 / 운동용품,건강관리,특정 상품 최저가 할인 이벤트
남성,30대,대전광역시,독서 / 운동,국내여행(휴양지),맛집탐방 / 역사탐방,가족여행,"여행(국내외 숙박, 여행상품) / 문화(영화, 도서, 공연)",전자제품 / 운동용품,여행 / 문화,여행상품 이용자 대상 적립금(또는 기념품) 지급
여성,30대,부산광역시,여행 / 음악/영화감상,해외여행,맛집탐방 / 역사탐방 / 호텔투어,지인과 함께하는 여행,"여행(국내외 숙박, 여행상품) / 문화(영화, 도서, 공연) / 온라인 SHOP(쇼핑, 아울렛) / 건강관리(골프, 헬스 등 제휴 서비스) / 자기계발(외국어, 자격증 콘텐츠) / 식료품(건강식, 간편식)",도서 / 패션/잡화 / 식료품,여행 / 문화 / 생활보장 / 자기계발 / 건강관리 / 식료품,특정 상품 최저가 할인 이벤트
남성,20대,경기도,여행 / 음악/영화감상,국내여행(휴양지),맛집탐방 / 호텔투어,지인과 함께하는 여행,"여행(국내외 숙박, 여행상품) / 문화(영화, 도서, 공연) / 온라인 SHOP(쇼핑, 아울렛) / 생활보장(모바일상품권, 이사, 홈케어) / 식료품(건강식, 간편식)",전자제품 / 식료품,여행 / 문화 / 식료품,여행상품 이용자 대상 적립금(또는 기념품) 지급 / 특정 상품 최저가 할인 이벤트 / 선착순 서비스 이용 관련 적립금(또는 기념품) 지급
여성,20대,광주광역시,독서 / 운동 / 음악/영화감상,국내여행(휴양지),호텔투어 / 캠핑여행,지인과 함께하는 여행,"여행(국내외 숙박, 여행상품) / 문화(영화, 도서, 공연) / 온라인 SHOP(쇼핑, 아울렛) / 식료품(건강식, 간편식)",전자제품 / 패션/잡화 / 식료품,여행 / 식료품,여행상품 이용자 대상 적립금(또는 기념품) 지급 / 구매액에 따른 적립금 지급(또는 기념품) 이벤트 / 선착순 서비스 이용 관련 적립금(또는 기념품) 지급
남성,40대,서울특별시,음악/영화감상,국내여행(도심지),맛집탐방 / 호텔투어,가족여행,"자기계발(외국어, 자격증 콘텐츠)",전자제품 / 도서,자기계발,특정 상품 최저가 할인 이벤트
남성,20대,울산광역시,운동 / 여행 / 음악/영화감상 / 모임활동,해외여행,맛집탐방 / 역사탐방,지인과 함께하는 여행,"여행(국내외 숙박, 여행상품) / 문화(영화, 도서, 공연) / 건강관리(골프, 헬스 등 제휴 서비스)",전자제품 / 도서 / 운동용품 / 패션/잡화 / 식료품,여행 / 문화 / 생활보장 / 자기계발 / 건강관리,특정 상품 최저가 할인 이벤트
남성,20대,충청북도,독서 / 운동 / 음악/영화감상,국내여행(휴양지),맛집탐방 / 호텔투어,지인과 함께하는 여행,"여행(국내외 숙박, 여행상품) / 온라인 SHOP(쇼핑, 아울렛) / 생활보장(모바일상품권, 이사, 홈케어) / 건강관리(골프, 헬스 등 제휴 서비스) / 식료품(건강식, 간편식)",전자제품 / 패션/잡화 / 식료품,여행,여행상품 이용자 대상 적립금(또는 기념품) 지급 / 특정 상품 최저가 할인 이벤트
여성,40대,광주광역시,운동,국내여행(휴양지),맛집탐방,지인과 함께하는 여행,"여행(국내외 숙박, 여행상품) / 온라인 SHOP(쇼핑, 아울렛) / 건강관리(골프, 헬스 등 제휴 서비스)",패션/잡화,여행,여행상품 이용자 대상 적립금(또는 기념품) 지급 / 특정 상품 최저가 할인 이벤트
남성,20대,부산광역시,독서 / 운동 / 여행 / 음악/영화감상 / 모임활동,해외여행,맛집탐방 / 역사탐방 / 호텔투어 / 캠핑여행,개인여행,"여행(국내외 숙박, 여행상품) / 문화(영화, 도서, 공연) / 온라인 SHOP(쇼핑, 아울렛) / 생활보장(모바일상품권, 이사, 홈케어) / 건강관리(골프, 헬스 등 제휴 서비스) / 자기계발(외국어, 자격증 콘텐츠) / 식료품(건강식, 간편식)",전자제품 / 도서 / 운동용품 / 패션/잡화 / 식료품 / 기타,여행 / 문화 / 생활보장 / 자기계발 / 건강관리 / 식료품,특정 상품 최저가 할인 이벤트
