,name,addr,tel,etc
0,즐거운나의집돌솥밥,청주시 상당구 영운천로 153번길 36,2985285,돌솥정식
1,사또가든,청주시 상당구 영운천로 153번길 36,2127072,청국장
2,마중가는길,청주시 상당구 영운천로 153번길 36,2881259,가마솥밥한정식
3,오소담,청주시 상당구 영운천로 153번길 36,2217330,두부정식
4,김가네더덕밥,청주시 상당구 영운천로 153번길 36,2360789,더덕한정식
5,신항도복집,청주시 상당구 영운천로 153번길 36,2877192,복지리
6,활력추어탕,청주시 상당구 영운천로 153번길 36,2941020,추어탕
7,황소고집,청주시 상당구 영운천로 153번길 36,2115550,청국장돌솥밥정식
8,돌뫼마을,청주시 상당구 영운천로 153번길 36,2134204,우리콩손두부전골
9,이티성영토,청주시 상당구 영운천로 153번길 36,2960801,곤드레밥정식
10,산골추어탕,청주시 상당구 영운천로 153번길 36,2932929,마추어탕
11,상록회관식당,청주시 상당구 영운천로 153번길 36,2547810,한정식
12,호정한정식,청주시 상당구 영운천로 153번길 36,2974567,한정식
13,소연재,청주시 상당구 영운천로 153번길 36,2846888,한정식
14,두레,청주시 상당구 영운천로 153번길 36,2603456,시골밥상
15,사리원,청주시 상당구 영운천로 153번길 36,2398878,불고기
16,장호식당,청주시 상당구 영운천로 153번길 36,2140255,짜글이찌개
17,25시가든,청주시 상당구 영운천로 153번길 36,2120300,된장찌개
18,이석가마솥추어탕,청주시 상당구 영운천로 153번길 36,2125292,추어탕
19,장안수제숯불갈비,청주시 상당구 영운천로 153번길 36,2143607,집된장찌개
20,나경한정식,청주시 상당구 영운천로 153번길 36,2732900,한정식
21,강촌설렁탕,청주시 상당구 영운천로 153번길 36,2720111,설렁탕
22,명동보리밥,청주시 상당구 영운천로 153번길 36,2363392,보리밥정식
23,소보양본가,청주시 상당구 영운천로 153번길 36,2188254,"해장국, 소보양탕, 소보양전골"
24,참나무골,청주시 상당구 영운천로 153번길 36,2145292,"점심특선, 오리회전구이"
25,명품순두부,청주시 상당구 영운천로 153번길 36,2567070,순두부찌개
26,방아다리추어탕,청주시 상당구 영운천로 153번길 36,2507707,"추어탕, 한방추어탕"
27,청주본가운천직영점,청주시 상당구 영운천로 153번길 36,2716080,갈비탕
