iter	Accuracy	MultiClass
0	0.9155725748	1.361420074
1	0.9637126185	1.338463611
2	0.9684536834	1.315941391
3	0.9706418673	1.294211609
4	0.9684536834	1.273868935
5	0.9713712619	1.252631987
6	0.9717359592	1.232295001
7	0.9710065646	1.212883323
8	0.9726477024	1.193780326
9	0.9741064916	1.177280776
10	0.9737417943	1.158864411
11	0.9726477024	1.14202824
12	0.9717359592	1.124179241
13	0.9722830051	1.107153762
14	0.9735594457	1.09096523
15	0.9730123997	1.074339687
16	0.9726477024	1.0596595
17	0.9726477024	1.044224571
18	0.9726477024	1.029626935
19	0.9741064916	1.016226292
20	0.9741064916	1.002561081
21	0.9741064916	0.9903818193
22	0.9737417943	0.9771148818
23	0.9742888403	0.964115966
24	0.9742888403	0.9513744838
25	0.9742888403	0.9385804724
26	0.9748358862	0.9261383701
27	0.9746535376	0.9141946592
28	0.9750182349	0.9027176872
29	0.9750182349	0.8924966886
30	0.9750182349	0.8812998513
31	0.9753829322	0.8711320818
32	0.9753829322	0.8600421116
33	0.9755652808	0.8490770513
34	0.9762946754	0.8388266646
35	0.9761123268	0.8281157593
36	0.9762946754	0.818501664
37	0.9762946754	0.8088090026
38	0.9762946754	0.7989966867
39	0.9759299781	0.7903835624
40	0.9757476295	0.7809688556
41	0.9752005835	0.7720239978
42	0.9753829322	0.7629227604
43	0.9753829322	0.7536291235
44	0.9755652808	0.7456836942
45	0.9757476295	0.738223323
46	0.9759299781	0.7296208832
47	0.9761123268	0.7213147596
48	0.9755652808	0.7131401534
49	0.9759299781	0.7049080936
50	0.9757476295	0.6971102126
51	0.9762946754	0.6891272426
52	0.9757476295	0.6816119568
53	0.9757476295	0.6749453535
54	0.9762946754	0.6677160042
55	0.9755652808	0.6602683584
56	0.9759299781	0.6531791366
57	0.9761123268	0.6460197224
58	0.9764770241	0.6391636943
59	0.9766593727	0.6322100394
60	0.9764770241	0.6252878374
61	0.9761123268	0.6185548977
62	0.9759299781	0.6121478413
63	0.9766593727	0.6057698159
64	0.9764770241	0.599594673
65	0.9764770241	0.5936282785
66	0.9766593727	0.5876237697
67	0.9764770241	0.5816992096
68	0.9766593727	0.5761177037
69	0.9764770241	0.5703098915
70	0.9762946754	0.5647014797
71	0.9764770241	0.558921472
72	0.9768417214	0.5530293556
73	0.9766593727	0.5475084619
74	0.9768417214	0.5419844974
75	0.9766593727	0.536838832
76	0.9766593727	0.5315318146
77	0.9766593727	0.526746407
78	0.9764770241	0.5218156854
79	0.9768417214	0.5164693849
80	0.9768417214	0.5116869004
81	0.97702407	0.5070262122
82	0.97702407	0.5023564056
83	0.97702407	0.4978686932
84	0.97702407	0.4932352792
85	0.9772064187	0.4885956811
86	0.9772064187	0.4843922546
87	0.9772064187	0.4799723931
88	0.9772064187	0.475327243
89	0.9768417214	0.4709324274
90	0.9772064187	0.4666412734
91	0.9773887673	0.462683975
92	0.9772064187	0.4584401237
93	0.9772064187	0.4541263966
94	0.9772064187	0.4501042095
95	0.9768417214	0.4458063535
96	0.97702407	0.44187958
97	0.97702407	0.4380475982
98	0.97702407	0.4345460648
99	0.97702407	0.430911792
