iter	Passed	Remaining
0	150	14855
1	189	9280
2	227	7355
3	267	6419
4	308	5863
5	353	5540
6	380	5061
7	423	4871
8	448	4533
9	496	4466
10	502	4069
11	543	3984
12	555	3718
13	560	3441
14	581	3296
15	603	3165
16	645	3152
17	691	3147
18	732	3124
19	775	3102
20	816	3069
21	856	3035
22	897	3003
23	918	2909
24	931	2794
25	972	2767
26	994	2687
27	1015	2610
28	1057	2588
29	1096	2559
30	1136	2529
31	1176	2500
32	1216	2470
33	1228	2384
34	1268	2355
35	1289	2291
36	1329	2263
37	1368	2233
38	1389	2172
39	1428	2142
40	1469	2114
41	1491	2059
42	1512	2004
43	1523	1939
44	1563	1911
45	1614	1895
46	1658	1870
47	1701	1843
48	1741	1812
49	1752	1752
50	1794	1723
51	1832	1691
52	1873	1661
53	1913	1630
54	1917	1569
55	1929	1516
56	1971	1486
57	2012	1457
58	2016	1401
59	2062	1374
60	2104	1345
61	2113	1295
62	2156	1266
63	2198	1236
64	2246	1209
65	2287	1178
66	2327	1146
67	2367	1114
68	2406	1081
69	2446	1048
70	2485	1015
71	2525	982
72	2567	949
73	2578	906
74	2600	866
75	2641	834
76	2686	802
77	2727	769
78	2770	736
79	2792	698
80	2834	664
81	2877	631
82	2918	597
83	2959	563
84	2998	529
85	3038	494
86	3076	459
87	3114	424
88	3153	389
89	3193	354
90	3232	319
91	3272	284
92	3312	249
93	3350	213
94	3389	178
95	3409	142
96	3450	106
97	3489	71
98	3529	35
99	3531	0
